Model,Train R²,Test R²,Test MAE,Test RMSE,Test MAPE (%),Explained Var,Train Time (s)
XGBoost,0.6267504560194006,0.3281397814798147,0.25397129666058144,0.3466816324077556,7.178087165104764,0.3286423167292133,0.46
Extra Trees,0.7467392875398049,0.3153771689241691,0.2564710449192537,0.3499589126285054,7.2540328408828,0.3163471102465273,1.25
Random Forest,0.7263487545239493,0.3112525998928146,0.256326919760829,0.35101150840499795,7.243637748095498,0.3120387857516228,7.18
Gradient Boosting,0.3658990126841548,0.2873041769595711,0.2643182967316549,0.35706187084214847,7.4635117486171385,0.2876827430946153,11.16
Ridge Regression,0.16315435729367478,0.1659457352556698,0.2880172081772873,0.386267815151496,8.148033995493542,0.1666359151987704,0.01
Linear Regression,0.163154651751237,0.16593914578231073,0.2880190521460186,0.3862693410093195,8.148114941886195,0.16663033176831188,0.02
ElasticNet,0.15400000584199192,0.1612393210619304,0.28972279335458284,0.3873561010371287,8.19065610638943,0.16188667353050756,0.02
Lasso Regression,0.1448935140920915,0.15118881636796078,0.2919365227024527,0.3896699501235444,8.248851769819385,0.1518182917326576,0.01
KNN Regressor,0.9999999999999888,0.038906904237093975,0.3040157672466051,0.41464277094703905,8.54521857715939,0.039336410748826545,0.01
AdaBoost,0.07355919060321647,0.026437238480788716,0.3374699296034641,0.4173239855629814,9.840191371972509,0.10919613439281617,7.71
Decision Tree,0.7157735640120174,-0.17696015679614274,0.3083085345333495,0.4588515995126246,8.664462856152284,-0.17449912148712654,0.78
